mL NaOH,pH
0.165358099,3.019977927
0.465734829,3.224538722
0.871547617,3.42991718
1.461688497,3.63609346
2.3329197,3.842936082
3.586573695,4.050168789
5.28928124,4.257377647
7.412583637,4.464085997
9.793288239,4.669884226
12.17054121,4.874545974
14.29304841,5.078059874
16.01288754,5.280572635
17.30333188,5.482299096
18.21814142,5.683451835
18.8413377,5.884206525
19.25459236,6.084694179
19.52379995,6.285006593
19.69715762,6.485205636
19.80796879,6.685332003
19.87846893,6.88541205
19.92319393,7.085462688
19.95152341,7.285494699
19.96946235,7.485514933
19.98083892,7.685527735
19.98809122,7.885535858
19.99277766,8.085541052
19.99590702,8.285544437
19.99815368,8.485546743
20.00000215,8.685548467
20.00185128,8.885549982
20.00410026,9.085551613
20.00723476,9.285553714
20.011932,9.485556737
20.01920755,9.685561335
20.03063599,9.885568499
20.04869462,10.08557977
20.07730773,10.28559759
20.12271779,10.48562577
20.19489384,10.68567037
20.30983814,10.88574093
20.49343542,11.08585248
20.78805931,11.28602854
21.26438739,11.4863058
22.04381981,11.68674085
23.3446854,11.88741958
25.58892859,12.08846923
29.69044918,12.29007101
38.03747207,12.49246719
59.44942181,12.6959499
