mL NaOH,pH
0,2.2525
0.901774539,2.439299101
2.183879539,2.646159862
3.788843813,2.853303849
5.786121497,3.060274331
8.118500746,3.266598375
10.58951375,3.471921261
12.9360212,3.676096055
14.94383809,3.879177659
16.51693554,4.081345675
17.66818746,4.282817685
18.47008834,4.483792452
19.00987601,4.684427093
19.36499749,4.884835682
19.59514486,5.085096825
19.74285661,5.28526295
19.83707148,5.485368313
19.89692665,5.685435011
19.93485761,5.885477183
19.95885721,6.085503827
19.97402789,6.285520653
19.98361313,6.485531277
19.98966949,6.685537986
19.99349929,6.885542223
19.9959272,7.085544904
19.99747653,7.285546607
19.99848137,7.485547698
19.9991585,7.685548413
19.99965402,7.885548907
20.00007487,8.085549287
20.0005119,8.285549633
20.00105944,8.485550022
20.00183569,8.685550536
20.00300824,8.885551287
20.0048303,9.085552436
20.00769542,9.285554233
20.0122227,9.485557064
20.019391,9.685561541
20.03075177,9.885568629
20.0487677,10.08557986
20.07735388,10.28559764
20.12274693,10.4856258
20.19491227,10.68567039
20.30984979,10.88574095
20.49344281,11.08585248
20.78806401,11.28602854
21.26439038,11.48630581
22.04382173,11.68674085
23.34468665,11.88741958
25.58892942,12.08846923
29.69044975,12.29007101
38.03747249,12.49246719
59.44942218,12.6959499
