mL NaOH,pH
1.072179367,2.24520125
2.852632875,2.452234677
4.983975414,2.659312594
7.501118922,2.865968482
10.30234591,3.071827443
13.19805565,3.276720945
16.02601601,3.480712259
18.74402183,3.684031965
21.43330801,3.886975265
24.22375792,4.089804799
27.19191512,4.292675254
30.29281701,4.495593947
33.38399687,4.698441907
36.33623295,4.901058186
39.13093365,5.10333832
41.85653777,5.30528347
44.62025328,5.506984023
47.44712149,5.708566978
50.2319121,5.91013866
52.78019551,6.11174021
54.91302572,6.313331223
56.55188905,6.514814571
57.72655842,6.716091113
58.52767657,6.917106347
59.05679588,7.11786124
59.39962005,7.318394106
59.61932195,7.518756376
59.75928787,7.718996365
59.84822199,7.919152613
59.90475154,8.119253183
59.9408607,8.319317424
59.96425936,8.519358236
59.97996524,8.719384036
59.99135563,8.919400236
60.00088425,9.119410268
60.01060641,9.319416274
60.02262127,9.519419539
60.03952553,9.719420765
60.0649769,9.919420213
60.10449176,10.11941776
60.16665666,10.31941289
60.26503406,10.51940453
60.42122253,10.71939088
60.66985535,10.91936897
61.06693628,11.11933405
61.7041469,11.31927848
62.73445194,11.51919002
64.42074844,11.719049
67.23635815,11.91882345
72.0979075,12.11846085
80.99847009,12.31787299
99.1861711,12.51690701
146.3686582,12.71528467
