mL NaOH,pH
0,2.408
0.046756916,2.429200748
2.257056627,2.634302937
4.805965449,2.839730927
7.845492506,3.045139037
11.35152766,3.250145192
15.08855914,3.454437487
18.69137701,3.657858387
21.82912401,3.860416552
24.32783686,4.062234212
26.18065448,4.263477186
27.48384586,4.464304361
28.36706869,4.664844698
28.95081223,4.865193332
29.33027351,5.06541647
29.57429632,5.265558547
29.73013808,5.46564871
29.82922538,5.665705808
29.89205117,5.865741918
29.93181639,6.065764736
29.95696009,6.265779149
29.9728519,6.465788251
29.98289903,6.665794
29.989261,6.865797636
29.99330738,7.065799942
29.99591011,7.265801416
29.99763043,7.465802375
29.99883943,7.665803027
29.99979799,7.865803512
30.00071299,8.065803934
30.00178192,8.265804385
30.00323555,8.465804963
30.00538772,8.665805791
30.00870323,8.865807049
30.01389827,9.065809008
30.02209564,9.265812091
30.03506834,9.465816963
30.05562556,9.665824674
30.0882273,9.865836887
30.13996783,10.06585623
30.22215943,10.26588687
30.35290695,10.46593536
30.56135337,10.66601209
30.89483569,10.86613337
31.43134576,11.06632474
32.3022893,11.26662598
33.7369707,11.46709831
36.15811182,11.66783449
40.41520584,11.86897141
48.4683395,12.07070339
66.03831875,12.27328998
