Cr3+_Conc_Exp_A,Co2+_Conc_Exp_A,Voltage_Exp_A,Cr3+_Conc_Exp_B,Co2+_Conc_Exp_B,Voltage_Exp_B
0.1,0.001,0.393690208,0.001,0.1,0.490623992
0.1,0.001206793,0.390195041,0.001206793,0.1,0.492772673
0.1,0.001456348,0.400380909,0.001456348,0.1,0.494897854
0.1,0.001757511,0.40610566,0.001757511,0.1,0.484261099
0.1,0.002120951,0.412940245,0.002120951,0.1,0.495794108
0.1,0.002559548,0.410247812,0.002559548,0.1,0.489084936
0.1,0.003088844,0.412499722,0.003088844,0.1,0.483913785
0.1,0.003727594,0.412778582,0.003727594,0.1,0.471561629
0.1,0.004498433,0.403063588,0.004498433,0.1,0.490330922
0.1,0.005428675,0.413496675,0.005428675,0.1,0.478867657
0.1,0.006551286,0.411971954,0.006551286,0.1,0.475583128
0.1,0.007906043,0.418631873,0.007906043,0.1,0.469107553
0.1,0.009540955,0.423954275,0.009540955,0.1,0.468950297
0.1,0.011513954,0.433139929,0.011513954,0.1,0.466673279
0.1,0.013894955,0.427685108,0.013894955,0.1,0.468070128
0.1,0.016768329,0.440256853,0.016768329,0.1,0.467749059
0.1,0.020235896,0.432113487,0.020235896,0.1,0.467126638
0.1,0.024420531,0.431860058,0.024420531,0.1,0.460318099
0.1,0.029470517,0.429484736,0.029470517,0.1,0.466226253
0.1,0.035564803,0.435919426,0.035564803,0.1,0.456844502
0.1,0.042919343,0.443829959,0.042919343,0.1,0.453291862
0.1,0.051794747,0.443426166,0.051794747,0.1,0.450602628
0.1,0.062505519,0.452688339,0.062505519,0.1,0.45689256
0.1,0.075431201,0.45242545,0.075431201,0.1,0.44716782
0.1,0.091029818,0.451811705,0.091029818,0.1,0.464959663
0.1,0.109854114,0.458230335,0.109854114,0.1,0.458718447
0.1,0.132571137,0.454775907,0.132571137,0.1,0.459219033
0.1,0.159985872,0.458697333,0.159985872,0.1,0.442747294
0.1,0.193069773,0.458350301,0.193069773,0.1,0.434693682
0.1,0.232995181,0.461434751,0.232995181,0.1,0.447298781
0.1,0.28117687,0.466485516,0.28117687,0.1,0.439385558
0.1,0.339322177,0.46907918,0.339322177,0.1,0.433960786
0.1,0.409491506,0.47544566,0.409491506,0.1,0.443757586
0.1,0.494171336,0.469394669,0.494171336,0.1,0.437398445
0.1,0.596362332,0.485201207,0.596362332,0.1,0.435194087
0.1,0.719685673,0.473343873,0.719685673,0.1,0.441718974
0.1,0.868511374,0.486203838,0.868511374,0.1,0.438921121
0.1,1.048113134,0.477867155,1.048113134,0.1,0.438525539
0.1,1.264855217,0.490981435,1.264855217,0.1,0.42868289
0.1,1.526417967,0.495829323,1.526417967,0.1,0.429845201
0.1,1.842069969,0.49179646,1.842069969,0.1,0.432873563
0.1,2.222996483,0.492708444,2.222996483,0.1,0.423441799
0.1,2.682695795,0.49698506,2.682695795,0.1,0.426088398
0.1,3.237457543,0.492024529,3.237457543,0.1,0.423428845
0.1,3.906939937,0.496625351,3.906939937,0.1,0.417728197
0.1,4.714866363,0.499390862,4.714866363,0.1,0.418703669
0.1,5.689866029,0.505971363,5.689866029,0.1,0.416803432
0.1,6.86648845,0.502187443,6.86648845,0.1,0.404497146
0.1,8.286427729,0.51078343,8.286427729,0.1,0.417952276
0.1,10,0.515391036,10,0.1,0.418306453
